산업분류코드,행정구역,산업분류명,총사업체수,총종사자수,남자종사자수,여자종사자수,개인사업체수,개인종사자수,회사법인사업체수,회사법인종사자수,회사법인외사업체수,회사법인외종사자수,비법인단체사업체수,비법인단체종사자수,단독사업체사업체수,단독사업체종사자수,공장지사사업체수,공장지사종사자수,공장본점사업체수,공장본점종사자수,사업체수1_4,종사자수1_4,사업체수5_9,종사자수5_9,사업체수10_19,종사자수10_19,사업체수20_49,종사자수20_49,사업체수50_99,종사자수50_99,사업체수100_299,종사자수100_299,사업체수300_499,종사자수300_499,사업체수500_999,종사자수500_999,사업체수1000이상,종사자수100이상,자영업자종사자수,무급가족종사자수,상용근로자수,임시일용근로자수,기타종사자수,대표자남자사업체수,대표자남자종사자수,대표자여자사업체수,대표자여자종사자수,대표자사업체수20세미만,대표자종사자수20세미만,대표자사업체수20_29세,대표자종사자수20세_29세,대표자사업체수30_39세,대표자종사자수30세_39세,대표자사업체수40_49세,대표자종사자수40세_49세,대표자사업체수50_59세,대표자종사자수50세_59세,대표자사업체수60세이상,대표자종사자수60세이상
0000000F42133,전국,조적 및 석공사업,2816,14460,12395,2065,1671,2918,1145,11542,0,0,0,0,2750,12712,30,313,36,1435,2186,3723,376,2372,158,2038,65,1887,12,798,16,2249,2,X,1,X,0,0,1700,82,5271,7335,72,2156,11378,660,3082,0,0,69,234,222,759,648,2713,1209,6157,668,4597
0000000F42134,전국,포장 공사업,3416,24299,20764,3535,1035,2318,2379,21880,2,X,0,0,3310,22220,47,704,59,1375,1833,3881,921,5965,465,6037,161,4782,25,1734,10,1355,0,0,1,X,0,0,1058,63,14214,8897,67,2336,17045,1080,7254,1,X,90,336,295,1600,920,6788,1353,9448,757,6125
0000000F42135,전국,철도 궤도 전문공사업,80,6986,4166,2820,22,30,56,6515,2,X,0,0,56,966,16,684,8,5336,35,50,8,58,12,166,14,545,5,332,4,476,1,X,0,0,1,X,22,1,6170,715,78,67,6819,13,167,0,0,1,X,6,12,15,231,35,6266,23,476
0000000F42136,전국,수중 공사업,892,4429,3789,640,513,897,376,3525,3,7,0,0,859,3238,15,119,18,1072,684,1069,120,747,53,668,27,781,4,248,3,438,1,X,0,0,0,0,518,22,2490,1389,10,681,3558,211,871,0,0,19,80,52,147,248,1010,370,1762,203,1430
0000000F42137,전국,비계 및 형틀 공사업,2776,17407,15178,2229,1954,5921,819,11468,3,18,0,0,2709,13950,35,537,32,2920,2096,3333,353,2272,197,2606,74,2119,36,2291,17,2448,1,X,1,X,1,X,1983,77,7563,7695,89,2210,13300,566,4107,2,X,107,259,344,1327,852,4838,1051,6575,420,4402
0000000F42138,전국,"지붕, 내ㆍ외벽 축조 관련 전문공사업",2383,8280,7004,1276,1865,3338,515,4934,3,8,0,0,2330,7231,19,147,34,902,2022,3194,236,1473,83,1059,29,833,7,441,5,944,1,X,0,0,0,0,1893,96,3059,3219,13,1939,6834,444,1446,0,0,65,223,192,507,688,1852,977,3244,461,2454
0000000F42139,전국,기타 옥외 시설물 축조관련 전문공사업,3474,13983,11165,2818,1973,3642,1496,10317,4,22,1,X,3336,12020,60,430,78,1533,2593,4231,593,3799,217,2788,59,1673,7,456,4,572,1,X,0,0,0,0,2002,106,7836,3995,44,2508,9808,966,4175,0,0,88,279,278,884,1037,3833,1465,6306,606,2681
0000000F422,전국,건물설비 설치 공사업,50085,239747,206182,33565,36827,56299,13233,183257,22,187,3,4,48372,173982,959,18645,754,47120,41234,59907,4796,30815,2382,31382,1198,34955,286,19390,136,22405,28,10708,16,11257,9,18928,37270,1817,114105,85109,1446,42311,209897,7774,29850,8,20,1263,2356,4910,13991,13759,46529,18876,98170,11269,78681
0000000F4220,전국,건물설비 설치 공사업,50085,239747,206182,33565,36827,56299,13233,183257,22,187,3,4,48372,173982,959,18645,754,47120,41234,59907,4796,30815,2382,31382,1198,34955,286,19390,136,22405,28,10708,16,11257,9,18928,37270,1817,114105,85109,1446,42311,209897,7774,29850,8,20,1263,2356,4910,13991,13759,46529,18876,98170,11269,78681
0000000F42201,전국,배관 및 냉ㆍ난방 공사업,36070,130827,111903,18924,29193,42116,6864,88624,11,84,2,X,35307,95461,418,8567,345,26799,31884,44281,2599,16431,950,12240,433,12602,108,7470,70,11564,10,4111,8,5234,8,16894,29512,1441,49622,49543,709,30774,113802,5296,17025,5,12,953,1573,3664,9240,9598,26959,13254,51459,8596,41584
0000000F42202,전국,건물용 기계ㆍ장비 설치 공사업,7523,62502,55036,7466,4148,7625,3369,54783,6,94,0,0,6872,42399,405,8299,246,11804,5073,8197,999,6593,779,10524,507,14891,112,7521,38,6014,10,3718,4,3010,1,X,4208,192,39122,18620,360,6375,56614,1148,5888,2,X,179,397,654,2258,2312,10102,2985,28050,1391,21692
0000000F42203,전국,"방음, 방진 및 내화 공사업",955,4150,3509,641,700,1375,254,2773,1,X,0,0,917,3507,15,283,23,360,773,1254,120,746,37,474,16,482,7,465,0,0,2,X,0,0,0,0,713,44,1518,1567,308,769,3139,186,1011,1,X,26,66,103,249,289,823,380,2127,156,880
0000000F42204,전국,소방시설 공사업,3460,35355,30093,5262,1166,2633,2294,32722,0,0,0,0,3260,27386,90,1154,110,6815,1706,3532,909,5984,549,7250,207,6024,53,3528,27,4697,6,2150,3,2190,0,0,1196,60,21023,13021,55,2751,30659,709,4696,0,0,53,239,294,1852,976,7073,1433,13970,704,12221
0000000F42209,전국,기타 건물 관련설비 설치 공사업,2077,6913,5641,1272,1620,2550,452,4355,4,7,1,X,2016,5229,31,342,30,1342,1798,2643,169,1061,67,894,35,956,6,406,1,X,0,0,1,X,0,0,1641,80,2820,2358,14,1642,5683,435,1230,0,0,52,81,195,392,584,1572,824,2564,422,2304
